# Second test
 -0.28691444  85.34035590
 -0.33240705  86.42656841
 -0.38032651  87.51512715
 -0.43066603  88.60615915
 -0.48344092  89.69978719
 -0.53866011  90.79613625
 -0.59633266  91.89533199
 -0.65646774  92.99750082
 -0.71907456  94.10276989
 -0.78416243  95.21126697
 -0.85174057  96.32312022
 -0.92181786  97.43845785
 -0.99440245  98.55740799
 -1.06949848  99.68010308
 -1.14712332 100.80666077
 -1.22727249 101.93722157
 -1.30995824 103.07191395
 -1.39518801 104.21086469
 -1.48295918 105.35420944
 -1.57327765 106.50207062
 -1.66614536 107.65458034
 -1.76158546 108.81186104
 -1.85956509 109.97404780
 -1.96007966 111.14127113
 -2.06316030 112.31363716
 -2.16877961 113.49127636
 -2.27692764 114.67430928
 -2.38759272 115.86285362
 -2.50075494 117.05701678
 -2.61641100 118.25692752
 -2.73453017 119.46267869
 -2.85508561 120.67437653
 -2.97805601 121.89210939
 -3.10339840 123.11597656
 -3.23108083 124.34606266
 -3.36105464 125.58243997
 -3.49327083 126.82518154
 -3.62767478 128.07434339
 -3.76420293 129.32997806
 -3.90278610 130.59212374
 -4.04334759 131.86080756
 -4.18578875 133.13603463
 -4.33003256 134.41781653
 -4.47596925 135.70613244
 -3.69267771  -9.57403624
 -3.54344893  -8.26532011
 -3.39557120  -6.96308919
 -3.24917357  -5.66741058
 -3.10437486  -4.37833208
 -2.96128420  -3.09588392
 -2.82000133  -1.82007846
 -2.68061647  -0.55091469
 -2.54321280   0.71162490
 -2.40786545   1.96756993
 -2.27464020   3.21696186
 -2.14359758   4.45985292
 -2.01479110   5.69630668
 -1.88826836   6.92639344
 -1.76407182   8.15019349
 -1.64223663   9.36779332
 -1.52279582  10.57928606
 -1.40577640  11.78477091
 -1.29120166  12.98435214
 -1.17909188  14.17814084
 -1.06946173  15.36624569
 -0.96232475  16.54878442
 -0.85769107  17.72587603
 -0.75556819  18.89764207
 -0.65596133  20.06420617
 -0.55887359  21.22569378
 -0.46430620  22.38223177
 -0.37225870  23.53394820
 -0.28272915  24.68097201
 -0.19571429  25.82343286
 -0.11120969  26.96146083
 -0.02920993  28.09518630
  0.05029130  29.22473980
  0.12730129  30.35024796
  0.20182720  31.47184904
  0.27387754  32.58966907
  0.34346094  33.70383779
  0.41058637  34.81448451
  0.47526306  35.92173808
  0.53750038  37.02572676
  0.59730785  38.12657826
  0.65469501  39.22441964
  0.70967138  40.31937732
  0.76224641  41.41157705
  0.81242944  42.50114390
  0.86022964  43.58820224
  0.90565596  44.67287576
  0.94871714  45.75528748
  0.98942161  46.83555974
  1.02777753  47.91381424
  1.06379268  48.99017202
  1.09747453  50.06475353
  1.12882622  51.13767976
  1.15786289  52.20906760
  1.18458616  53.27903708
  1.20900184  54.34770645
  1.23111528  55.41519352
  1.25093138  56.48161568
  1.26845455  57.54708989
  1.28368874  58.61173281
  1.29663738  59.67566076
  1.30730340  60.73898980
  1.31568925  61.80183577
  1.32179683  62.86431431
  1.32562755  63.92654095
  1.32718180  64.98862814
  1.32646105  66.05069804
  1.32346449  67.11286190
  1.31819144  68.17523517
  1.31064069  69.23793337
  1.30081052  70.30107217
  1.28869876  71.36476754
  1.27430285  72.42913535
  1.25761749  73.49429142
  1.23864399  74.56035281
  1.21737341  75.62743568
  1.19380212  76.69565793
  1.16792546  77.76513718
  1.13973769  78.83599111
  1.10923267  79.90833805
  1.07640432  80.98230128
  1.04124512  82.05799420
  1.00374809  83.13553962
  0.96390565  84.21505837
  0.92170991  85.29667191
  0.87715269  86.38050237
  0.83022556  87.46667253
  0.78091086  88.55530409
  0.72921347  89.64652396
  0.67511827  90.74045568
  0.61861587  91.83722474
  0.55969681  92.93695736
  0.49835151  94.03978055
  0.43457038  95.14582205
  0.36834378  96.25521031
  0.29966212  97.36807425
  0.22851612  98.48454296
  0.15489711  99.60474546
  0.07880280 100.72881665
  0.00020951 101.85687024
 -0.08087252 102.98904932
 -0.16445943 104.12548667
 -0.25055605 105.26630724
 -0.33916472 106.41163742
 -0.43028350 107.56162694
 -0.52392057 108.71638339
 -0.62007775 109.87604407
 -0.71877865 111.04072875
 -0.81998000 112.21057498
 -0.92368179 113.38570943
 -1.02990816 114.56623762
 -1.13863061 115.75228825
 -1.24983689 116.94397903
 -1.36350535 118.14141442
 -1.47963549 119.34472988
 -1.59819403 120.55401248
 -1.71915597 121.76936467
 -1.84249168 122.99088354
 -1.96816812 124.21865588
 -2.09614109 125.45277613
 -2.22637139 126.69329350
 -2.35880339 127.94029760
 -2.49338099 129.19383584
 -2.63004012 130.45395569
 -2.76870957 131.72069131
 -2.90931074 132.99406483
 -3.05174408 134.27407597
 -3.19592842 135.56072923
 -2.41319502  -9.42547945
 -2.26561448  -8.11807837
 -2.11945432  -6.81729157
 -1.97483624  -5.52317890
 -1.83187202  -4.23577639
 -1.69066342  -2.95510460
 -1.55130483  -1.68116722
 -1.41387939  -0.41395430
 -1.27846399   0.84655909
 -1.14512819   2.10041011
 -1.01393312   3.34764748
 -0.88493300   4.58833005
 -0.75817779   5.82252682
 -0.63370994   7.05031444
 -0.51156771   8.27177897
 -0.39178309   9.48701078
 -0.27438441  10.69610817
 -0.15939555  11.89917438
