X,Y,Polarity,Timestamp
53,60,0,25932954
80,69,0,25933063
76,71,0,25933069
104,74,1,25933107
104,74,1,25933108
104,74,1,25933109
104,74,1,25933110
108,68,1,25933117
97,60,0,25933119
108,54,0,25933293
102,77,1,25933395
69,42,1,25933536
109,54,0,25933558
104,58,0,25933610
59,124,0,25933636
32,66,0,25933659
112,52,0,25933677
107,55,0,25933694
31,65,0,25933713
15,120,1,25933779
15,120,1,25933780
15,120,1,25933781
96,61,0,25933793
39,82,0,25933859
71,72,0,25933870
78,70,0,25933887
103,57,0,25933903
103,57,0,25933904
103,57,0,25933905
103,57,0,25933907
28,57,0,25933913
119,50,1,25933979
58,62,0,25934152
24,48,0,25934187
41,86,0,25934188
70,83,1,25934195
70,83,1,25934197
91,63,0,25934242
94,89,1,25934252
94,89,1,25934253
94,89,1,25934254
94,89,1,25934255
92,63,0,25934337
67,98,1,25934367
114,51,0,25934386
47,56,0,25934392
73,117,1,25934418
73,117,1,25934419
73,117,1,25934420
73,117,1,25934421
116,50,0,25934447
106,69,1,25934480
101,58,0,25934527
113,60,1,25934555
91,93,1,25934682
91,93,1,25934683
91,93,1,25934684
52,109,0,25934687
77,71,0,25934702
31,64,0,25934723
82,68,0,25934781
88,65,0,25934817
115,57,1,25934839
60,65,0,25934899
73,73,0,25934929
98,83,1,25934938
118,52,1,25935068
87,67,0,25935086
112,47,1,25935109
33,68,0,25935118
74,72,0,25935229
79,70,0,25935252
75,72,0,25935262
36,47,0,25935303
110,64,1,25935316
117,53,1,25935337
86,100,1,25935349
76,114,1,25935356
83,68,0,25935392
89,96,1,25935458
89,96,1,25935459
89,96,1,25935460
89,96,1,25935461
89,96,1,25935462
64,122,1,25935496
64,122,1,25935497
58,64,0,25935599
13,110,0,25935667
111,53,0,25935671
42,10,1,25935672
63,126,1,25935739
83,104,1,25935746
83,104,1,25935747
83,104,1,25935748
118,49,0,25935834
111,63,1,25935884
109,66,1,25935956
94,62,0,25935999
100,80,1,25936197
100,80,1,25936199
100,80,1,25936200
119,48,0,25936285
33,46,0,25936289
106,55,0,25936330
75,115,1,25936373
47,99,0,25936454
73,118,1,25936458
73,118,1,25936459
73,118,1,25936460
73,118,1,25936461
51,59,0,25936596
93,62,0,25936651
15,118,1,25936670
44,54,0,25936691
107,55,0,25936838
24,40,0,25936880
50,58,0,25936896
105,56,0,25936941
105,56,0,25936942
99,59,0,25936955
81,69,0,25936964
51,107,0,25937019
103,57,0,25937027
15,123,1,25937096
15,123,1,25937097
40,85,0,25937159
21,38,0,25937187
87,66,0,25937199
66,69,0,25937205
92,63,0,25937246
70,72,0,25937267
111,62,1,25937315
111,62,1,25937316
75,72,0,25937322
63,67,0,25937344
110,65,1,25937348
106,71,1,25937420
78,111,1,25937503
51,40,1,25937506
51,40,1,25937507
112,62,1,25937620
114,58,1,25937665
100,79,1,25937698
100,79,1,25937699
100,79,1,25937700
27,55,0,25937712
95,61,0,25937720
108,68,1,25937735
104,74,1,25937749
98,60,0,25937750
57,63,0,25937755
34,70,0,25937766
65,68,0,25937859
72,73,0,25937868
96,61,0,25937879
79,70,0,25937887
21,42,0,25937896
89,95,1,25937982
89,95,1,25937983
89,95,1,25937984
89,95,1,25937985
77,71,0,25938029
15,121,1,25938075
15,121,1,25938076
15,121,1,25938077
90,64,0,25938095
75,43,1,25938118
75,43,1,25938119
75,43,1,25938120
64,121,1,25938178
42,88,0,25938248
53,60,0,25938350
99,82,1,25938376
99,82,1,25938377
99,82,1,25938378
25,50,0,25938389
50,58,0,25938395
61,68,0,25938448
66,68,0,25938471
116,50,0,25938499
82,68,0,25938503
110,47,1,25938509
81,107,1,25938515
81,107,1,25938516
81,107,1,25938517
114,59,1,25938531
115,56,1,25938554
59,64,0,25938563
40,51,0,25938671
113,45,0,25938695
37,49,0,25938722
102,58,0,25938733
26,52,0,25938734
85,67,0,25938741
48,101,0,25938752
29,59,0,25938796
22,38,0,25938812
24,49,0,25938824
95,86,1,25938850
43,53,0,25938951
80,69,0,25938962
108,53,0,25938969
113,52,0,25939025
86,66,0,25939076
64,68,0,25939145
103,57,0,25939152
105,56,0,25939194
109,54,0,25939286
34,47,0,25939315
94,62,0,25939322
118,49,0,25939358
48,57,0,25939405
106,56,0,25939474
115,57,1,25939502
78,70,0,25939519
107,55,0,25939534
67,70,0,25939541
45,54,0,25939645
71,120,1,25939708
97,85,1,25939721
97,85,1,25939722
97,85,1,25939724
44,54,0,25939747
111,53,0,25939793
90,95,1,25939848
74,43,1,25939850
92,91,1,25939910
54,61,0,25939918
14,114,0,25939993
18,37,0,25940013
73,73,0,25940072
74,117,1,25940102
95,88,1,25940127
60,65,0,25940227
70,72,0,25940301
104,57,0,25940310
101,58,0,25940356
108,55,0,25940388
92,63,0,25940476
107,70,1,25940483
56,62,0,25940492
19,39,0,25940520
15,116,1,25940538
47,56,0,25940555
39,50,0,25940584
30,44,0,25940597
81,69,0,25940599
93,63,0,25940666
82,69,0,25940774
120,49,1,25940779
69,71,0,25940798
107,69,1,25940818
96,86,1,25940924
41,52,0,25940941
92,92,1,25940954
76,72,0,25941072
105,73,1,25941146
76,114,1,25941187
55,62,0,25941327
40,84,0,25941328
50,105,0,25941368
50,105,0,25941369
50,105,0,25941370
96,61,0,25941458
37,77,0,25941613
100,59,0,25941702
100,59,0,25941703
100,59,0,25941704
87,98,1,25941752
87,98,1,25941753
87,98,1,25941754
54,114,0,25941805
30,61,0,25941809
114,59,1,25941840
84,67,0,25941894
103,58,0,25941934
79,70,0,25941949
96,84,1,25942056
67,70,0,25942180
91,64,0,25942293
88,98,1,25942362
75,72,0,25942467
105,70,1,25942500
112,53,0,25942528
98,81,1,25942578
98,81,1,25942579
22,39,0,25942604
109,67,1,25942631
89,65,0,25942690
5,54,0,25942701
76,71,0,25942702
112,62,1,25942706
101,79,1,25942735
69,70,0,25942803
69,124,1,25942808
85,67,0,25942813
117,54,1,25942816
103,76,1,25942822
117,50,0,25942827
87,66,0,25942836
99,80,1,25942839
66,69,0,25942849
115,51,0,25942868
83,68,0,25942910
90,64,0,25942917
97,61,0,25942988
77,71,0,25942996
104,57,0,25943005
77,112,1,25943007
77,112,1,25943008
77,112,1,25943009
26,53,0,25943019
84,103,1,25943079
89,94,1,25943085
79,110,1,25943139
48,57,0,25943157
95,62,0,25943229
100,78,1,25943245
98,60,0,25943248
98,60,0,25943249
57,63,0,25943303
36,48,0,25943336
33,70,0,25943339
51,59,0,25943372
22,44,0,25943393
111,64,1,25943397
